question,qa_type,primary_label,labels,found_rank,bertscore_f1,contextual_precision,hallucination_fraction,generated_answer
Why can AI systems create filter bubbles?,inferential,context,context,1,0.6121564507484436,0.00825082508250825,1.0,Because they optimize for engagement and repeatedly show similar content.
Why is explainability important in AI?,inferential,context,context,2,0.6285238564014435,0.014423076923076924,1.0,Because people affected by decisions have a right to an explanation.
Why is international trade complex?,inferential,context,context,1,0.6873715668916702,0.013071895424836602,1.0,"Because currencies, laws, and government policies differ between countries."
Why is computer vision linked to neurobiology?,inferential,context,context,1,0.7156667560338974,0.01020408163265306,1.0,Because it draws inspiration from biological visual systems.
How did GPUs and big datasets together influence deep learning success?,multi-hop,context,context,2,0.7874745726585388,0.009615384615384616,1.0,GPUs enabled fast training and large datasets provided sufficient learning material.
How do RLHF and hallucinations connect?,multi-hop,context,context,2,0.6677533984184265,0.008517887563884156,1.0,RLHF is used to reduce hallucinations.
How do AI agents improve over time?,multi-hop,context,context,1,0.6786159574985504,0.013289036544850499,1.0,They incorporate learning algorithms and adapt from experience.
What is digital media?,factual,context,context,1,0.760616660118103,0.007987220447284345,1.0,Digitized information broadcast through screens or speakers.
What is HCI?,factual,retrieval,"retrieval,context",,0.6267687231302261,0.00946372239747634,0.9811320754716981,The study of how people interact with computer systems.
What is an export?,factual,context,context,1,0.7526948153972626,0.011904761904761904,1.0,A product sent from one country to another.
What is IoT?,factual,context,context,1,0.7033635973930359,0.01487603305785124,0.9565217391304348,A network of devices connected and communicating via the Internet.
What is rendering in computer graphics?,factual,context,context,1,0.7338274270296097,0.009345794392523364,1.0,Producing a 2D image from a 3D scene.
What is a transformer model in AI known for?,factual,context,context,1,0.7355273962020874,0.008389261744966443,1.0,Accelerating progress in generative AI and language modeling.
What kind of tasks can large language models perform?,factual,context,context,4,0.7189215123653412,0.0032679738562091504,1.0,"Reading, writing, translating, and summarizing text."
What is a recommender system used for?,factual,context,context,6,0.6046886891126633,0.003205128205128205,1.0,Suggesting content or products to users.
What is the goal of reinforcement learning agents?,factual,context,context,2,0.6667470633983612,0.004838709677419355,1.0,To maximize cumulative reward.
What does computer graphics study?,factual,context,context,1,0.7189491093158722,0.012698412698412698,1.0,Methods for digitally synthesizing and manipulating visual content.
Which focuses on language: NLP or computer vision?,comparative,context,context,5,0.767938882112503,0.006644518272425249,0.9696969696969697,Natural language processing (NLP).
Which is about visual data: computer vision or HCI?,comparative,context,context,1,0.7856226861476898,0.0033613445378151263,0.9285714285714286,Computer vision.
Which relies on rewards: reinforcement learning or clustering?,comparative,context,context,1,0.5966656506061554,0.0035650623885918,0.9444444444444444,Reinforcement learning.
Which handles human–computer interfaces: HCI or IoT?,comparative,retrieval,"retrieval,context",,0.6279115378856659,0.0016474464579901153,1.0,Human–computer interaction (HCI).
Which involves cross-border exchange: domestic trade or international trade?,comparative,context,context,1,0.7539931833744049,0.0032258064516129032,0.9705882352941176,International trade.
Why do large language models sometimes hallucinate?,inferential,context,context,3,0.594348594546318,0.004622496147919877,1.0,Because they generate text probabilistically and may produce false information.
Why are GPUs preferred for AI training?,inferential,context,context,3,0.6477659493684769,0.003278688524590164,0.9705882352941176,They perform parallel computations efficiently.
Why can AI raise ethical concerns?,inferential,context,context,1,0.5518637523055077,0.007961783439490446,1.0,"Because it can impact privacy, fairness, and safety."
Why is digital media influential in society?,inferential,context,context,1,0.6685303896665573,0.004830917874396135,0.9583333333333334,It enables widespread and fast information sharing.
Why does wind power challenge grid stability?,inferential,context,context,1,0.7274808585643768,0.009771986970684038,0.9565217391304348,Because wind energy output is variable.
How do transformers and big data together improve language models?,multi-hop,context,context,1,0.7412773668766022,0.006535947712418301,0.9743589743589743,Transformers learn patterns effectively from large datasets.
How do recommender systems and filter bubbles relate?,multi-hop,context,context,3,0.6267240941524506,0.0031201248049922,1.0,"Recommenders can repeatedly show similar content, creating filter bubbles."
How does computer vision support robotics?,multi-hop,context,context,1,0.683824211359024,0.006700167504187605,0.9444444444444444,It provides perception of the environment.
How does IoT combined with AI enable smart environments?,multi-hop,context,context,1,0.7350826859474182,0.011686143572621035,1.0,Connected devices collect data and AI makes decisions from it.
How do supervised learning and labeled data connect?,multi-hop,context,context,1,0.7428639382123947,0.004934210526315789,0.9523809523809523,Supervised learning trains on labeled examples.
What does NLP stand for?,factual,context,context,2,0.7553150057792664,0.005,0.9767441860465116,Natural language processing.
What is a neural network inspired by?,factual,context,context,3,0.7329794764518738,0.008291873963515755,1.0,Biological neurons in the brain.
What is backpropagation used for?,factual,context,context,2,0.7515711784362793,0.006557377049180328,0.9722222222222222,Training neural networks by adjusting weights.
What is a classifier in AI?,factual,context,context,1,0.6179446429014206,0.009884678747940691,1.0,A function that assigns categories using pattern matching.
What is a CNN commonly used for?,factual,context,context,2,0.6484948098659515,0.007974481658692184,1.0,Image processing and recognizing visual patterns.
What is reinforcement learning driven by?,factual,context,context,1,0.614330418407917,0.0016233766233766235,1.0,Rewards and punishments.
What is GAN short for?,factual,context,context,3,0.7540279030799866,0.004761904761904762,0.975609756097561,Generative adversarial network.
Who proposed the Turing Test?,factual,context,context,2,0.7424560487270355,0.0032,0.9705882352941176,Alan Turing.
What is AGI?,factual,context,context,2,0.6731031388044357,0.011475409836065573,1.0,Artificial general intelligence that matches human cognitive ability.
What is digital media?,factual,context,context,1,0.7888572812080383,0.011182108626198083,1.0,Media encoded in machine-readable digital formats.
What is HCI concerned with?,factual,retrieval,"retrieval,context",,0.5279767215251923,0.00510204081632653,1.0,Interaction between humans and computers.
What is computer vision?,factual,context,context,1,0.7434967160224915,0.01020408163265306,1.0,AI field for analyzing visual input.
What is IoT?,factual,context,context,1,0.6571274995803833,0.009917355371900827,1.0,A network of internet-connected devices.
What is rendering in graphics?,factual,context,context,1,0.6649852842092514,0.010835913312693499,1.0,Producing a 2D image from a 3D model.
What is qualitative research?,factual,context,context,1,0.6689056605100632,0.012302284710017574,0.9545454545454546,Research using non-numeric data for meanings and themes.
What is quantitative research?,factual,context,context,1,0.7559034526348114,0.010619469026548672,1.0,Research using numerical data and statistics.
What is an export?,factual,context,context,1,0.6266739368438721,0.006802721088435374,1.0,A good sent to another country.
What is a knowledge base?,factual,context,context,1,0.7927105724811554,0.006535947712418301,1.0,Structured knowledge usable by a program.
What is an ontology in AI?,factual,context,context,1,0.714943528175354,0.012618296529968454,1.0,A formal set of concepts and relations in a domain.
What is gradient descent?,factual,context,context,1,0.6906228214502335,0.006600660066006601,1.0,An optimization method minimizing loss.
What is Moore’s law?,factual,context,context,2,0.505654389038682,0.0014925373134328358,1.0,Transistor density doubling about every 18 months.
What is affective computing?,factual,context,context,2,0.8407271802425385,0.008665511265164644,1.0,AI that recognizes or simulates emotions.
What is sentiment analysis?,factual,context,context,2,0.7591861188411713,0.01001669449081803,1.0,Classifying emotional tone in text or media.
What is transfer learning?,factual,context,context,2,0.7740237414836884,0.006837606837606838,1.0,Applying learned knowledge to a new task.
What is differential privacy?,factual,context,context,1,0.699548602104187,0.007861635220125786,1.0,A method to protect individual data in datasets.
Which uses labels: supervised or unsupervised learning?,comparative,context,context,1,0.6995760351419449,0.003389830508474576,1.0,Supervised learning.
Which is numeric: qualitative or quantitative research?,comparative,context,context,1,0.7697027027606964,0.0017574692442882249,0.9565217391304348,Quantitative.
Which is older: AI or ML?,comparative,generation,"generation,context",4,0.7215389311313629,0.0015772870662460567,1.0,AI.
Which handles images: NLP or computer vision?,comparative,context,context,1,0.7779459357261658,0.003284072249589491,0.9285714285714286,Computer vision.
Which is more costly: domestic or international trade?,comparative,context,context,1,0.7539931833744049,0.0032258064516129032,0.9705882352941176,International trade.
Which uses rewards: reinforcement or supervised learning?,comparative,context,context,1,0.7206920385360718,0.003289473684210526,0.9523809523809523,Reinforcement learning.
Which is for interaction design: HCI or graphics?,comparative,generation,"generation,retrieval,context",,0.6011497378349304,0.0,1.0,HCI.
Which is variable: wind or nuclear power?,comparative,context,context,1,0.7302545607089996,0.0032258064516129032,0.96,Wind power.
Which is biological inspiration: CNNs or SVMs?,comparative,generation,"generation,context",4,0.6144800186157227,0.0,1.0,CNNs.
Which needs labels: classification or clustering?,comparative,context,context,14,0.606597788631916,0.0,1.0,Classification.
Why did deep learning advance after 2012?,inferential,context,context,3,0.752021074295044,0.006633499170812604,1.0,GPUs and large datasets enabled it.
Why can recommender systems spread misinformation?,inferential,context,context,2,0.6121386140584946,0.0032733224222585926,1.0,They optimize engagement.
Why is big data called dirty data?,inferential,context,context,1,0.6093147173523903,0.003169572107765452,1.0,Error rates grow with scale.
Why is AI energy-intensive?,inferential,context,context,1,0.5725605115294456,0.0,1.0,Large data centers require high power.
Why can AI cause job loss?,inferential,context,context,1,0.6865043640136719,0.0031201248049922,1.0,Automation replaces tasks.
Why is explainability needed?,inferential,context,context,2,0.582476794719696,0.004739336492890996,0.9714285714285714,People deserve reasons for decisions.
Why regulate AI?,inferential,context,context,1,0.6197299584746361,0.004754358161648178,1.0,To manage risks and ethics.
Why does bias appear in AI?,inferential,context,context,1,0.635811448097229,0.004901960784313725,1.0,Models learn from biased data.
Why is CV tied to biology?,inferential,retrieval,"retrieval,context",,0.5269763618707657,0.0035398230088495575,1.0,Inspired by visual systems.
Why is trade complex internationally?,inferential,context,context,1,0.668830156326294,0.006535947712418301,1.0,Different laws and currencies.
How do GPUs and data together boost AI?,multi-hop,context,context,2,0.6979056745767593,0.009724473257698542,0.9642857142857143,They allow fast learning from large datasets.
How do AI agents improve?,multi-hop,context,context,1,0.5680984780192375,0.0049833887043189366,1.0,They learn from experience.
How does RLHF reduce hallucinations?,multi-hop,context,context,4,0.530507393181324,0.0017825311942959,1.0,Human feedback corrects outputs.
How do filter bubbles form?,multi-hop,context,context,3,0.5174105484038591,0.001564945226917058,1.0,Algorithms repeat similar content.
How does wind variability affect grids?,multi-hop,context,context,1,0.5533898659050465,0.004893964110929853,1.0,It challenges balance.
How do GANs create data?,multi-hop,context,context,1,0.6002506613731384,0.0016313213703099511,1.0,Generator and discriminator compete.
How does IoT intelligence work?,multi-hop,context,context,1,0.6740308552980423,0.006472491909385114,1.0,"Across device, edge, and cloud."
How do qualitative and quantitative differ?,multi-hop,context,context,2,0.6039280444383621,0.0,1.0,"One uses words, one numbers."
How does digital media fuel the digital revolution?,multi-hop,context,context,1,0.5876092463731766,0.004792332268370607,1.0,Via interconnectivity and access.
How does computer vision help robotics?,multi-hop,context,context,1,0.6860724985599518,0.0016750418760469012,1.0,Provides environment perception.
